overall,name,pos,pos_rank,tier,team,bye,pts,ppg,vorp,adp,espn_sf_rank,injury
513,Giants D/ST,DST,18,4,NYG,8,79.3,4.7,-21.2,169.68,505,ACTIVE
514,Jaguars D/ST,DST,19,4,JAX,7,78.5,4.6,-22.0,167.92,384,ACTIVE
515,Cowboys D/ST,DST,20,4,DAL,14,78.1,4.6,-22.4,167.29,433,ACTIVE
516,Colts D/ST,DST,21,4,IND,13,76.1,4.5,-24.4,170.1,435,ACTIVE
517,Vikings D/ST,DST,22,4,MIN,6,74.4,4.4,-26.1,168.98,436,ACTIVE
518,Panthers D/ST,DST,23,4,CAR,5,73.9,4.3,-26.6,169.84,511,ACTIVE
519,Bengals D/ST,DST,24,4,CIN,6,72.4,4.3,-28.1,169.73,437,ACTIVE
520,Bears D/ST,DST,25,4,CHI,10,71.4,4.2,-29.1,169.6,506,ACTIVE
521,Titans D/ST,DST,26,4,TEN,9,68.4,4.0,-32.1,169.91,510,ACTIVE
522,Commanders D/ST,DST,27,5,WSH,7,60.8,3.6,-39.7,169.75,513,ACTIVE
523,Bills D/ST,DST,28,5,BUF,7,59.0,3.5,-41.5,169.04,516,ACTIVE
524,Falcons D/ST,DST,29,5,ATL,11,58.4,3.4,-42.1,170.05,515,ACTIVE
525,Raiders D/ST,DST,30,5,LV,13,53.9,3.2,-46.6,169.82,517,ACTIVE
526,Cardinals D/ST,DST,31,5,ARI,14,50.4,3.0,-50.1,169.85,518,ACTIVE
527,Dolphins D/ST,DST,32,6,MIA,6,45.1,2.7,-55.4,169.68,519,ACTIVE
